,0
47,"""@WHO: WHO risk assessment on Middle East respiratory syndrome http://t.co/IScySx8mrM (24 April 2014) #MERS"""
48,Authorities lift tsunami threat after 8.2 quake kills 6 in northern Chile: SANTIAGO Chile - Au... http://t.co/ng9L2agvA5 #calgaryherald
49,New Pics From The California Earthquake. | Scotty Mac on DOWNTOWN RADIO 97.7 http://t.co/3rKkjW7KJf via @DowntownRadio97
50,May look like a sports hall but 1k people here sheltering from storm. #hagupit hitting Batangas now. Rain no wind http://t.co/wwYLXveaXK
51,Earthquake and tsunami in Chile: Effective regional cooperation and preparedness saves lives. UN EDUCATIONAL: http://t.co/NfR65Y1J5O
52,Chile Earthquake: Strict Building Rules May Keep Death Toll Low http://t.co/rOb788JscI
53,RT @ShakingEarth: #Earthquake #Napa Valley #California - many injured (none life threatening) and  damage - http://t.co/adzPXtGtEE - http:…
54,#Philippines Official On #TyphoonHagupit: ‘The Impacts Of #ClimateChange Are Beyond Our... http://t.co/N1uD0RVVVy http://t.co/eq3UpQ6J6V
55,Emergency response personnel preparing hygiene kits to be given to #RubyPH-affected families in Bulan Sorsogon tom http://t.co/6uRbg5hOzH
56,Saudi Arabia: Two dead 10 more infected with Mers..GulfNews.com http://t.co/pOMJAbMZDU #Mers #WHO #Travelplans #SaudiArabia #News
57,6 Additional cases of #CoronaVirus and 3 deaths (in Riyadh) from previous cases (10 infected 1 death). 1 in... http://t.co/daovc5CVZo
58,Several homes and a school classroom were destroyed and crops were flooded ~Solomon Islands Broadcasting Corporation http://t.co/vJQDjc0Pbr
59,Typhoon #Hagupit: From Being Afraid to Being Prepared http://t.co/8qy1k5bxkV
60,Philippines: Philippines: Estimated Economic Impact - Typhoon Hagupit (Ruby) Based on information from NDRRMC Re... http://t.co/3VdhgiCgae
61,Weakened storm #Hagupit nears Manila http://t.co/UebN8mkNME
62,Typhoon Hagupit weakening http://t.co/lubouJObT1
63,Smart &amp Sun expand post-disaster response assistance with Libreng Tawag &amp Free Charging: Typhoon #Hagupit has ... http://t.co/GAPUEoihPc
64,MERS outbreak hits 30% death rate as pandemic spreads in Saudi Arabia http://t.co/ISKZeNvHIa aware of this disease. I think it may be here?
65,good news -#typhoonhagupit has been downgraded to a tropical storm - @carephl + @CARE continue to provide emergency support
66,PHOTOS: These images that capture destruction left behind after Chile's powerful earthquake http://t.co/xoZQlqoTkw
67,Canadian drone aids humanitarian effort after Philippines typhoon http://t.co/Ul8zkQ2arA robsoninc #technology
68,Sars-like coronavirus spreads to Egypt - http://t.co/lr1L4deeLW #GoogleAlerts
69,PHOTOS: The aftermath of Typhoon #Hagupit in the Philippines: http://t.co/wN4Rxpdkc3 http://t.co/TOLrSBLdiM via @Reuters
70,Most cases of childhood #MERS-CoV infection are asymptomatic and tested positive.http://t.co/tl0SucCCED
71,"""#Hagupit is still a serious threat with thousands of children &amp their mothers in urgent need of emergency aid""  http://t.co/MDwyDPZeKn"
72,Typhoon Hagupit weakens as Philippines clear up operation begins http://t.co/W6b3ciWIiA
73,Massive Quake In Chile Update: Thousands Return Home Limited Damages 6 Dead http://t.co/2d1vwfDJqo #ChileEarthquake #chilequake
74,Food being rushed to Typhoon Hagupit survivors http://t.co/sx3Dx2CU1K via @examinercom
75,RT @joykw5: #HurricaneODILE Hotel Riu Santa Fe completely flooded http://t.co/6tcsG73nXW
76,Prepping for a Pandemic: an Overviewhttp://t.co/d5FxZlGxNv #SHTF #MERS #Ebola #preppertalk @MedicShack
77,Only like 5 people died in that 8.2 earthquake in Chile niggas immortal and shit
78,Ni siquiera un deslizamiento de tierra o aguas revueltas pueden llevárselo todo
79,What are the chances of #missingplane of #MalaysiaAirlines being hijacked? http://t.co/4T5DZGgLjd #astrology
80,Une avalanche fait 2 morts en Colombie-Britannique (Canada) http://t.co/HiuUscZuvl
81,We urgently need your help to provide emergency relief to remote communities in #Vanuatu. Donate here: http://t.co/JGibG2g0zs #CyclonePam
82,http://t.co/W9XzlV7gEd Chile Earthquake Leaves European Southern Observatory (ESO) Telescopes Undamaged - Chile earthquake
83,Earthquake : M 4.9 73km SW of Iquique Chile: Thursday April 03 2014 06:54:31 UTC Thursday April 03 2014... http://t.co/6zp9MGehwx
84,RT @wittier9 Typhoon Hagupit weakens but flooding ... http://t.co/UDntL9mHbC #PleaseRT | https://t.co/IfstzJ2zgq http://t.co/ip3f8WSo5O
85,Philippines: Emergency aid in wake of Typhoon HagupitSource: Islamic ReliefCountry: PhilippinesDecember 9... http://t.co/29dSSFvAE0
86,"#Religiousidiot ""'Face of Jesus' Appears After Colombian Rockslide"" http://t.co/T6Pi1kHUoc"
87,At least 5 dead in powerful Chile earthquake
88,RT @OCHAAsiaPac: #Philippines #Hagupit: caves churches &amp schools turn into evacuation centers for over 700000 ppl http://t.co/FVlEKng7GO
89,Saudi Arabia Reports 8 More #MERS Deaths as Toll Tops 100 http://t.co/UoAGVTREln via @BloombergNews
90,[News5] HAGUPIT | UNFPA: More than 30000 pregnant women need reproductive health services http://t.co/VAG0GZMcSG
91,Two Killed As #Typhoon Slams Into #Philippines http://t.co/WaWmTXF7fz
92,HAGUPIT | Communications system from UN helped Tacloban's disaster response http://t.co/MU9sxYvtUC
93,Capital Region AUS Canberra → http://t.co/18X3NHqr44 » UPDATE » 244 Typhoon Hagupit  Typhoon Hagupit smashes into the Philippines #TyphoonH…
94,Saudi Arabia says #MERS virus cases top 300 5 more die  http://t.co/Xr4gYuE7dc by @s_westall for @reuters
95,The Corona Virus Awareness CampaignLet's outsmart it together 💪 http://t.co/n6lrfnxuxs
96,Tropical Storm Hagupit batters Philippines killing at least 21 http://t.co/QEspIGBoYw
97,Glissement de terrain http://t.co/6NjnIy35bA
98,Christian Drosten reports on early #MERS virus analysis in ProMED. Kudos for real time reporting of key data.  http://t.co/XXnNY1EReV
99,Iceland volcano erupts quietly below the ice http://t.co/9DV0rScJrN
100,Relief in Philippines as typhoon weakens leaving just 4 dead - Reuters
101,KAPATID UPDATE HAGUPIT | Council reports Typhoon Ruby caused no casualty in Metro Manila http:/... http://t.co/BgSiW1jwGr #WowoWillie
102,Tropical storm Hagupit wreaks havoc in Philippines killing at least 27 http://t.co/pZLDmyMciv
103,Sky News : 'Monster' Cyclone Pam Damaged 90% Of Buildings http://t.co/HMTxiSmLY7
104,Typhoon Hagupit Hits Philippines: #Climate Catastrophe Is Here Now! http://t.co/FQ5wpeWzC0 via @ecowatch http://t.co/uP5YJ8ygSW
105,Egypt: Second possible #MERS case http://t.co/eV1BYjR96u
106,A powerful 7.6 magnitude #earthquake has rocked northern #Chile just over 24 hours after an 8.2 tremor killed... http://t.co/4FOZ4Wfd9C
107,RT @TelegraphNews: Earthquakes under Iceland volcano put airlines on alert http://t.co/aNX46s29OC (Pic: EPA) http://t.co/FH6MFOqQP6
108,Typhoon Hagupit Kills 21 In The Philippines: Around a million people are forced from their homes as a deadly s... http://t.co/hHJZVByEm0
109,Philippines may seek up to 600000 tonnes of rice imports after typhoon - http://t.co/EmuhHY4dq7
110,T.S. Hagupit batters Philippines: The storm that has buffeted the Philippines for days… http://t.co/HTg65z8YSU
111,EarthQuake Update: M  6.1  offshore tarapaca chile: Magnitude  M  6.1Region  OFFSHORE TARAPACA CHILEDate tim... http://t.co/MjSc4GFjsa
112,USGS: M 5.0 - 128km NNE of Vik Iceland: DYFI? - ITime2014-08-25 16:19:04 UTC2014-08-25 16:19:04 +00:00 at epicenterLocation64.450°N ...
113,World #AsiaPacific #Luzon #TyphoonHagupit #TyphoonHaiyan Manila Braces for Storm That Has Left 21 Dead http://t.co/GYSA2TeXaX
114,Stawamus Chief rockslide in Squamishhttp://t.co/iBmdeU9e1v @davepetley http://t.co/mQP2Xn4LTZ
115,@cindycante hablando de Coxcatlán hubo un derrumbe de un cerro?
116,#MERS is spreading quickly in #KSA ... @joekoueik be careful!!! http://t.co/7Ido4Sd7II
117,Typhoon #Hagupit: at least 21 killed in #Philippines Manila braces. #FF @auroraalmendral - http://t.co/qjdyvkOYCG http://t.co/rEO76xvI4U”
118,27 dead as Hagupit leaves Philippines http://t.co/LSrsKHrnL5 #Sydney #News #Aus
119,Tropical Storm Hagupit batters Philippines killing at least 21 http://t.co/yJ7E4zrpIy
120,Chile Earthquake: Deadly Magnitude-8.2 Temblor Rocks Coast http://t.co/p0XhkZgumN
121,Residents in #RubyPH-ravaged Eastern Samar hold up ‘help me’ signs http://t.co/DYGs6ZxWpl
122,Saudi Arabia reports big jump in MERS cases http://t.co/UlsyMcsI3H
123,Super-storm Hagupit changes direction towards Spratly Island - VietNamNet Bridge http://t.co/ZoPWGQRAzF #Spratlys
124,New post on my blog: Baltimore-based agency to provide typhoon relief in Philippines http://t.co/C5hyFsMlFV
125,Tropical storm Hagupit wreaks havoc in Philippines killing at least 27 http://t.co/8yehTpTac5
126,En un sismo recuerda estar alerta ante posibles deslizamientos de tierra o la caída de grandes rocas y aléjate de pendientes inestables.
127,27 Dead...Hagupit Heads for Manila Death Toll Now at 27 - #cyclone - #ubAlert https://t.co/a5BqOuPeAZ
128,#USA http://t.co/sVTuj5FZAI #  #Powerful 8.2-magnitude #earthquake #off #Chile #kills #at #least 5 #forces #evacuations  #A #powerful #mag…
129,Typhoon Churns Across Philippines 1 Million Evacuated http://t.co/tqmKhtgpAq
130,RT @News5AKSYON #HAGUPIT | Isolated #Samar folk seek help through Facebook http://t.co/zowUTa5bJA
131,In #Philippines emergency communications played vital role in saving lives during Typhoon #Hagupit. Learn how: http://t.co/HqKAOPgtnp
132,Major Earthquake Off Shore Of Chile Kills 5 Prompts Coastal Evacuations: Authorities kept hundreds of t... http://t.co/c2RWkLGwsC
133,El deslizamiento de lodo y agua en Quebrada de Leiva se ha trasladado hasta algunas arterias de la comuna.... http://t.co/fWip9UGWDI
134,NDRRMC: Ruby death toll rises to 8 FATALITIES from Typhoon Ruby (Hagupit) increased to eight on ... http://t.co/dRAmVveFV8 #news #filipino
135,Tropical Storm hagupit 22W @ 091800Z located @ 13.4N 117.5E with max sustained winds 045kt/h &amp gusts 055kt/h http://t.co/vRBcuS9Rlf
136,Damages from Northern California Earthquake Could Reach $1 Billion http://t.co/CaCsZNxAmc #NationalNews http://t.co/axVa3DQ3Qa
137,Typhoon in Philippines! http://t.co/C1TquaVOn0
138,Camels Confirmed As Source of MERS Virus http://t.co/2ckMwzIcMS via @NBCNews
139,Texas USA Midland http://t.co/1fLE0lDqI3 #Icelandvolcano BREAKING NEWS 706 Iceland volcano Earthquakes over 5 magnitude shake Iceland volca…
140,VIDEO: Australia and NZ fly aid to Vanuatu - http://t.co/vWoDncye3n |Your PR here http://t.co/dbuCg2wuXY
141,DOH PhilHealth finalizing MERS-CoV benefit package – Health official http://t.co/6VYzrmTBex #philippines
142,MERS Watch: Saudi Deaths Top 100 #MERS http://t.co/v7ALL1gVaK
143,Hagupit weakens en route to Philippine capital - http://t.co/dTbTBdCweL #GoogleAlerts
144,#Saudi Arabia: 10 more die all-out efforts launched to contain #MERS http://t.co/O0HHnSdRfK #KSA #coronavirus http://t.co/wcVxFqdWUD
145,RT @iConleth: Give now to @operationsafe child trauma relief for Ruby #reliefPH   http://t.co/hmUaWMoW4K http://t.co/HykzJBIsI1
146,What we should know about the Middle East Respiratory Syndrome – Coronavirus « Bulatlat http://t.co/SC4kDtEbJj
147,Manila braces for landfall of storm that has left 21 dead: Typhoon Hagupit weakened into a tropical storm Monday… http://t.co/Ci0KKVN0au
148,Philippine Hams Support Emergency Communication for Typhoon Hagupit: Amateur Radio volunteers in the Philippin... http://t.co/gpVvX3pALE
149,#Chile #earthquake sparks #tsunamiwarning and evacuation of thousands http://t.co/lOFBa88xH1 'Deaths reported and people on coast spendi...'
150,Typhoon Hagupit kills 21 in Philippines - Times of India http://t.co/jkWXPBM9XH
151,Por caída de rocas se presenta cierre total en la vía La Mesa – Mosquerahttp://t.co/xcxSxedbt0
152,More Volunteers Needed! @dswdserves @CebuInfocen #RubyPH #ReliefPH #RubyResponse http://t.co/wW7YcejFYh
153,As typhoon slows flooding becomes concern in Philippines http://t.co/qBjdTLu5io
154,Tropical storm Hagupit: Philippine rescuers struggle to reach villages http://t.co/i6t7lhHyYw http://t.co/NdAVNjiU28
155,Avalancha de lodo causa la muerte de una persona en Perú http://t.co/qQlZvKiE1N
156,33 businesses condemned in #Napa this morning after Sunday's 6.0 #earthquake
157,FAST FACTS: The MERS Coronavirus http://t.co/26wl3WfzJs
158,Chile Had A 8.2 Earthquake Smh
159,8.2 earthquake rattles Chile’s mining hub ports: World prices for copper jumped as the quake in the world's N... http://t.co/eOX6HoeCl6
160,Some facts about typhoon #hagupit http://t.co/OTJNKH20CD
161,Initial hints about the origins of the Jeddah MERS-CoV outbreak  thank you Dr Hatem http://t.co/10xZtPgu6C
162,No major damage in Philippine typhoon 3 dead - http://t.co/uGsbD7KFHo Colorado Springs and Pueblo News http://t.co/59bdfqQlsm #philippines
163,Philippines typhoon weakens still 'deadly' http://t.co/fPQF0dNwMQ http://t.co/jV6Pp7TeqK
164,Iceland volcano: Island on Fire: The extraordinary story of Laki the volcano that turned eighteenth-century Europe d http://t.co/s8WUtcn5e2
165,Canada on guard for MERS virus as WHO warns exported cases ‘very likely’ http://t.co/grOgsLV43V #health #MERS #flu
166,Un impressionnant glissement de terrain filmé en Russie http://t.co/AN5TfEiN0u http://t.co/hFEfK3dDc0
167,Iceland Volcano Begins Erupting Sparking Red Alert | @scoopit http://t.co/e7gt0kxDqm
168,RT @LiveScience: No Eruption Yet at Iceland's Bardarbunga Volcano http://t.co/4Sbmehc8aJ
169,Slow-moving typhoon drenches Philippines http://t.co/ABphKLfCIs
170,Tributes to Everest avalanche dead   http://t.co/vJO7iRKrbO  #foreignmainstreamnews
171,Tragic #Haiyan images last Nov but #Hagupit... MT @weathernetwork Evacuations save thousands: http://t.co/bN1OUQS8yn http://t.co/niJRDENP5C
172,JUST IN: Pres. Aquino cancels Dec. 11-12 trip to Busan South Korea (ASEAN-ROK Summit) to focus on #RubyPH response
173,Scientists find MERS virus antibodies that may lead to treatments http://t.co/t2pJtiIcrQ
174,RT @BBCWorld: Iceland's #Bardarbunga volcano hit by 5.7 magnitude earthquake largest since tremors began last week http://t.co/6I1ZTskB4c
175,Philippine capital bracez fo'storm az #Hagupit leavez 27 dead: DOLORES Philippinez… http://t.co/dTRpoBikgD
176,New paper from @CII_Columbia &amp @EcoHealthNYC - whole gen. analysis of #MERS CoV in KSA camels. Seqs match human. http://t.co/ZiBpENy0ow
177,Philippines - Travel News - FCO updates Travel Advice for Philippines with an update on Typhoon Hagupit #Philippines #Typhoon #Hagupit
178,Typhoon Hagupit begins dangerous trek across Philippines deadly floods likely http://t.co/uqEUX3WNFa
179,KAPATID UPDATE HAGUPIT | No power in Eastern Northern Samar gov't plugs food supply gaps http... http://t.co/VbqwEYbNxj #WowoWillie
180,2116 PHILIPPINES-TYPHOON AFTERMATH | Watch: http://t.co/wryru3U26t
181,Now we can tweet it - Camels really the source of #MERS http://t.co/OBAgmCkCMn
182,RT @BBCWorld: Iceland's #Bardarbunga volcano hit by 5.7 magnitude earthquake largest since tremors began last week http://t.co/6I1ZTskB4c
183,Support @UNICEF's relief efforts for children+families affected by Typhoon #Hagupit http://t.co/q2aLCgFzgE @UNICEFUSA http://t.co/DipTLMm6af
184,Aviation Prepares for Possible Icelandic Ash Cloud: Iceland’s meteorological office (IMO) lowered the risk lev... http://t.co/RvoVNOkgso
185,#CuantasMuertesFaltan? RT @teleSURtv   Avalancha de lodo causa la muerte de una persona en #Perú | http://t.co/NrqMbSSteO
186,Typhoon #Hagupit clears leaving at least 27 dead and a massive mess for the #Philippines - http://t.co/mUb1FCIV14 http://t.co/gNd4UxvbLv
187,Reckoning with #Hagupit http://t.co/nJ1xnKBwbl #Philippines http://t.co/FyHtlGN0je
188,"""Evacuation rather than rescue"" says Chief of Albay Public Safety &amp Emergency Management Office on #TyphoonHagupit http://t.co/ZgjH9fbQNp"
189,Terrifying Animation Shows How Chile’s Tsunami Took Over the Entire Pacific Oceanhttp://t.co/n3QBUuYhRw
190,Napa Valley Wineries Picking Up the Pieces After Earthquake... http://t.co/YhNpHSj9gP
191,So if the leader flees how about his pplRT@233LiveNews: Chile President ‘Flees’ As Strong Earthquake Strikes Country http://t.co/kpTbIPxR1z
192,RT @bbcscitech: Iceland issues volcano red alert http://t.co/ZysuElEuhG
193,New MASSIVE 6.5 7.8 6.3 6.2 QUAKES strike CHILE after Monster 8.3 - TSUNAMI Alert 4.2-3.14 http://t.co/zweOqorUrI
194,Philippines: CARE to distribute food packs to those affected by typhoon Hagupit launches fundraising appeal to ... http://t.co/rqTfU4p33G
195,Philippines preparing for major typhoon http://t.co/qA8bSveg48
196,AFP:Rising Saudi death toll from #MERS fuels public fearhttp://t.co/hooeHhXBd5
197,AFD blog `#Egypt Ramps Up #MERS #Surveillance At Local Ports'  http://t.co/cKyrnr29Yo
198,Super-storm Hagupit changes direction towards Spratly Island - VietNamNet… http://t.co/UtYOVLuUUV #Spratlys @UN
199,Strange Events Before &amp After Earthquakes: After the 2010 Chile earthquake people started to notice... http://t.co/S2eIia4a0v #不思議
200,"An Algerian man in his fifties has died of the MERS virus the first such fatality in the country the health ministry has announced."""
201,Percibir en cámara lenta como pasaba la avalancha llevadose de todo y dejandome a mi en el lodo sin alguien para levantarme
202,Saudi records 11 cases of MERS virus in Jeddah http://t.co/s6k4ByNVoX #health
203,RT @mblfrettir: The lar­gest eart­hqua­ke in the cur­rent sw­arm was mea­sured last nig­ht at 01:26.http://t.co/YdR2zRIIv8#Bardarbunga
204,Philippine Hams Support Emergency Communication for Typhoon Hagupit:  http://t.co/09mRHUZx5m #hamradio #hamr
205,16 cases 8 deaths is correct for latest #MERS case update.
206,"""Algeria: MERS Death Reported"" MERS (Middle East Respiratory Syndrome) http://t.co/nAHts4AopD"
207,21 people died in Eastern Samar 16 of them in Borongan Philippine typhoon death toll jumps http://t.co/fZOL6HQQ2R #Hagupit
208,Singapore Red Cross sends team to typhoon-hit Philippines donates $60000: SINGAPORE - The Singapore Red Cros... http://t.co/gA4ToQzzWt
209,Expats guard against MERS-Coronavirus http://t.co/w0gKvAvuWC
210,Tropical Cyclone Pam: Australian officials locate five missing volunteers in Vanuatu http://t.co/10kJ3JVczR #ANN
211,City braced for #Hagupit storm surges @silau25 @vron1234 @russell_liburd  http://t.co/sAF2p2gGf1
212,Deadly Typhoon Hits Philippines http://t.co/90uBKGZAmu
213,RAW VIDEO: Magnitude-8.2 earthquake sends people scrambling in northern Chile: http://t.co/xljz2ZhQm8
214,#Philippines | #TyphoonHagupit Leaves 27 dead
215,UPDATE: 8.2 Chile Earthquake Video 6 dead Tsunami Warning for Chile Peru and Ecuador http://t.co/BuEdDw7VaQ http://t.co/RtcmN1Ti0H #peru
216,→ http://t.co/UcA8fqrwlA Typhoon Hagupit  440 Typhoon brings strong winds rain
217,"Middle East Respiratory Syndrome "" MERS"" is also Coronavirus"
218,Philippines sighs with relief after Hagupit mellows down - Livemint http://t.co/VuY5feOzsY
219,#RubyPH brings increasing disaster risk into @APEC’s focus: http://t.co/KZOFMsBrdH (Photo via @dswdserves) #APEC2015 http://t.co/KEcTZwSyQB
220,Typhoon Hagupit moves towards Manila homes damaged at least 24 killed http://t.co/isYBRI0BkL #ANN
221,Philippine capital braces for storm as Hagupit leaves 21 dead - Reuters Africa http://t.co/dH1ntIZRCx
222,Typhoon Hagupit death toll rising #cnn http://t.co/grD1rdA37e
223,#Typhoon #Hagupit Causes Peril for #Ports. #Philippines #Manila #shipping #maritime #freight #cargo #logistics http://t.co/6apllR3Z7q
224,Typhoon Hagupit Kills 21 In The Philippines: Around a million people are forced from their homes as a deadly s... http://t.co/nazgEDXtLE
225,Blogpost:  Hagupit Loses Strength But Continues to Drench Manila as Residents of the Bicol Region Begin to Dig Out http://t.co/8xyzWyCPxw
226,Deadly Super Typhoon Hagupit Moved Slowly  http://t.co/C3X6UVCSzd
227,[voice of russia] 26 more cases of MERS virus in Saudi Arabia 10 dead: Saudi Arabia confirmed 26 more cases o... http://t.co/Bdv3LiTnJq
228,South Pacific cyclone kills dozens http://t.co/aEqf09q7Ke
229,En estos momentos nos dirigimos donde la Fam. Morocho afectados por el derrumbe del Cerro Las Cabras  con ayuda Humanitaria #CRC #ABA #Duràn
230,Un homme sauve un chien pris au piège après un éboulement http://t.co/cNhlovTLJh
231,• http://t.co/1LQvCfLmwS • Iceland volcano 355  #Icelandvolcano • Iceland Reopens Airspace Around Volcano http://t.co/V6CICE1O4y
232,Experts: Strict building codes saved lives in powerful Chile earthquake - CNN http://t.co/MgGe0xxhzs
233,8.2 earthquake hits Chile killing 5 and displacing 80000 http://t.co/TrI95aqfu6
234,[EMSC] M4.7 Apr-03 06:54:28 UTC OFFSHORE TARAPACA CHILE Depth:2.0km http://t.co/blmNW2rXgX #quake http://t.co/wHrw9g1P0L
235,Saudi reports five more Mers deaths -  Five new deaths from the Mers coronavirus have been announced in Saudi... http://t.co/npcastWM4m
236,Typhoon Hagupit weakening
237,Un homme sauve un chien pris au piège après un éboulement http://t.co/0GFEmfceEL via @ohmymagfr
238,40km Fissure Opens Connecting Three Major Iceland Volcanos: http://t.co/DO8FtQh743
239,#Conductor Antes y durante tu viaje debes estar atento a posibles afectaciones viales como caída de rocas perdida de banca o inundaciones.
240,Is a different Icelandic volcano about to act up? http://t.co/EXuoDyTSzDby Dave McGarvie
241,The GREEN MARKET ORACLE: Philippines Typhoon Underscores Urgency of Climate... http://t.co/oHl2EL1kObhttp://t.co/mSzbiwcHYp EnvComCTC1 ECW
242,Philippines Rescuers Struggle To Reach Villages After Typhoon “Folded Homes Like Paper” http://t.co/xjjFNgLGx3
243,Response to #TyphoonHagupit in #Philippines shows lessons learned from a year ago @USEmbassyManila | http://t.co/U0uORd9I2h
244,SARS-Like MERS Virus Spreads to New Countries http://t.co/yt4EOqKkE7
245,Re-examination of MERS-CoV data in Saudi Arabia led to 19.6% increase in case count and 48.4% increase in death toll http://t.co/o4KS0tVGtt
246,Update: 6 people killed by earthquake off Chile's coast - @AP
247,"""@ABSCBNNews: Public Storm Warning Signals as of 5 p.m. December 8. #RubyPH #Hagupit http://t.co/jSi5ZeSb2f"""
248,Viral Video Shows Heart-Stopping Avalanche Rescue http://t.co/F2N8r1YEyy
249,Typhoon Hagupit: Powerful pictures show the extent of the storm's devastation http://t.co/MbDCgPXWis
250,http://t.co/R8BzHoVChO #Canada aid to #Philippines
